-19.79098161637183,Göteborg,2023-05-24 17:19:42
-19.787712452306618,Göteborg,2023-05-24 17:19:44
-19.787712452306618,Göteborg,2023-05-24 17:19:45
-19.79098161637183,Göteborg,2023-05-24 17:19:46
-19.787712452306618,Göteborg,2023-05-24 17:19:47
-19.79098161637183,Göteborg,2023-05-24 17:19:48
-19.787712452306618,Göteborg,2023-05-24 17:19:49
-19.787712452306618,Göteborg,2023-05-24 17:19:50
-19.79098161637183,Göteborg,2023-05-24 17:19:51
-19.79098161637183,Göteborg,2023-05-24 17:19:52
-19.787712452306618,Göteborg,2023-05-24 17:19:54
-19.787712452306618,Göteborg,2023-05-24 17:19:55
-19.787712452306618,Göteborg,2023-05-24 17:19:56
-19.787712452306618,Göteborg,2023-05-24 17:19:57
-19.79098161637183,Göteborg,2023-05-24 17:19:58
-19.79098161637183,Göteborg,2023-05-24 17:19:59
-19.787712452306618,Göteborg,2023-05-24 17:20:00
-19.787712452306618,Göteborg,2023-05-24 17:20:01
-19.787712452306618,Göteborg,2023-05-24 17:20:02
-19.787712452306618,Göteborg,2023-05-24 17:20:03
-19.787712452306618,Göteborg,2023-05-24 17:20:05
-19.787712452306618,Kristineberg,2023-05-24 17:43:51
-19.787712452306618,Kristineberg,2023-05-24 17:43:52
-19.79098161637183,Kristineberg,2023-05-24 17:43:53
-19.79098161637183,Kristineberg,2023-05-24 17:43:54
-19.79098161637183,Kristineberg,2023-05-24 17:43:55
-19.787712452306618,Kristineberg,2023-05-24 17:43:56
-19.787712452306618,Kristineberg,2023-05-24 17:43:57
-19.79098161637183,Kristineberg,2023-05-24 17:43:58
-19.79098161637183,Kristineberg,2023-05-24 17:44:00
-19.787712452306618,Kristineberg,2023-05-24 17:44:01
-19.79098161637183,Kristineberg,2023-05-24 17:44:02
-19.79098161637183,Kristineberg,2023-05-24 17:44:03
-19.79098161637183,Kristineberg,2023-05-24 17:44:04
-19.787712452306618,Kristineberg,2023-05-24 17:44:05
-19.787712452306618,Kristineberg,2023-05-24 17:44:06
-19.78444328824141,Kristineberg,2023-05-24 17:44:07
-19.78444328824141,Kristineberg,2023-05-24 17:44:08
